political,missing_multiplier,time_multiplier,target_multiplier,county_shared,exclude_flagged,year,winner,measure,p05,median,p95,fixed_population
proportional,1.0,1.0,1.0,False,False,2034,Harris,operating_gw_per_listed_proposal,0.05630513713984026,0.14076453682682882,0.262874517463408,81424822.0
proportional,1.0,1.0,1.0,False,False,2034,Trump/Harris,intensity_ratio,3.54663374870203,4.600606425304863,5.900063596385848,
proportional,1.0,1.0,1.0,False,False,2036,Trump,operating_gw,152.910385352869,189.5407907722307,225.00228644330087,39252529.0
proportional,1.0,1.0,1.0,False,False,2036,Trump,mw_per_1000_fixed_host_population,3.895554993485109,4.828753601385293,5.73217298796979,39252529.0
proportional,1.0,1.0,1.0,False,False,2036,Trump,mw_per_1000_operating_host_population,4.865789957544796,5.899025901263089,7.016223513332597,39252529.0
proportional,1.0,1.0,1.0,False,False,2036,Trump,operating_host_residents_millions,28.8170482,31.9642075,35.3299533,39252529.0
proportional,1.0,1.0,1.0,False,False,2036,Trump,operating_project_count,210.0,232.0,247.0,39252529.0
proportional,1.0,1.0,1.0,False,False,2036,Trump,operating_gw_per_listed_proposal,0.2738353455568573,0.4898034741354843,0.7035543351382537,39252529.0
proportional,1.0,1.0,1.0,False,False,2036,Harris,operating_gw,64.07145360063569,80.34511099967548,99.99048817334469,81424822.0
proportional,1.0,1.0,1.0,False,False,2036,Harris,mw_per_1000_fixed_host_population,0.7868786449497635,0.9867397806491427,1.2280099080025588,81424822.0
proportional,1.0,1.0,1.0,False,False,2036,Harris,mw_per_1000_operating_host_population,0.8821451387530597,1.0941112652829812,1.3661827747303303,81424822.0
proportional,1.0,1.0,1.0,False,False,2036,Harris,operating_host_residents_millions,70.3171985,73.3601385,76.23700439999999,81424822.0
proportional,1.0,1.0,1.0,False,False,2036,Harris,operating_project_count,121.0,129.0,137.0,81424822.0
proportional,1.0,1.0,1.0,False,False,2036,Harris,operating_gw_per_listed_proposal,0.07335434533066704,0.1667923263639739,0.2925867345868175,81424822.0
proportional,1.0,1.0,1.0,False,False,2036,Trump/Harris,intensity_ratio,3.7860906863014585,4.860342677918163,6.16453436653475,
winner_step,1.0,1.0,1.0,False,False,2026,Trump,operating_gw,25.97649389109591,35.484284395348205,48.71409236362862,39252529.0
winner_step,1.0,1.0,1.0,False,False,2026,Trump,mw_per_1000_fixed_host_population,0.6617788599327171,0.9039999536169556,1.2410434080216495,39252529.0
winner_step,1.0,1.0,1.0,False,False,2026,Trump,mw_per_1000_operating_host_population,1.7055742110668308,2.329840224650647,3.198487832856159,39252529.0
winner_step,1.0,1.0,1.0,False,False,2026,Trump,operating_host_residents_millions,15.230351,15.230351,15.230351,39252529.0
winner_step,1.0,1.0,1.0,False,False,2026,Trump,operating_project_count,64.0,64.0,64.0,39252529.0
winner_step,1.0,1.0,1.0,False,False,2026,Trump,operating_gw_per_listed_proposal,0.0,0.0,0.0,39252529.0
winner_step,1.0,1.0,1.0,False,False,2026,Harris,operating_gw,24.502423669546353,35.4271833161306,49.91683784770873,81424822.0
winner_step,1.0,1.0,1.0,False,False,2026,Harris,mw_per_1000_fixed_host_population,0.30092081342893634,0.43509070632209174,0.6130420260262738,81424822.0
winner_step,1.0,1.0,1.0,False,False,2026,Harris,mw_per_1000_operating_host_population,0.4878311248226481,0.7053376808550678,0.9938195291718388,81424822.0
winner_step,1.0,1.0,1.0,False,False,2026,Harris,operating_host_residents_millions,50.227266,50.227266,50.227266,81424822.0
winner_step,1.0,1.0,1.0,False,False,2026,Harris,operating_project_count,60.0,60.0,60.0,81424822.0
winner_step,1.0,1.0,1.0,False,False,2026,Harris,operating_gw_per_listed_proposal,0.0,0.0,0.0,81424822.0
winner_step,1.0,1.0,1.0,False,False,2026,Trump/Harris,intensity_ratio,1.372810900919085,2.084887326638582,3.242908720428874,
winner_step,1.0,1.0,1.0,False,False,2028,Trump,operating_gw,39.228734453863474,55.589709898869785,77.79185500525729,39252529.0
winner_step,1.0,1.0,1.0,False,False,2028,Trump,mw_per_1000_fixed_host_population,0.9993938085839889,1.4162070907296136,1.981830393788316,39252529.0
winner_step,1.0,1.0,1.0,False,False,2028,Trump,mw_per_1000_operating_host_population,2.060505789491868,2.689606903053746,3.4554494281310792,39252529.0
winner_step,1.0,1.0,1.0,False,False,2028,Trump,operating_host_residents_millions,17.09287715,20.625432500000002,25.398444699999995,39252529.0
winner_step,1.0,1.0,1.0,False,False,2028,Trump,operating_project_count,87.0,120.0,161.0,39252529.0
winner_step,1.0,1.0,1.0,False,False,2028,Trump,operating_gw_per_listed_proposal,0.0,0.008905557327497458,0.04960985267430817,39252529.0
winner_step,1.0,1.0,1.0,False,False,2028,Harris,operating_gw,31.386414518522272,44.01308631407659,60.36958434452325,81424822.0
winner_step,1.0,1.0,1.0,False,False,2028,Harris,mw_per_1000_fixed_host_population,0.38546494481157445,0.5405364756471508,0.741414999280235,81424822.0
winner_step,1.0,1.0,1.0,False,False,2028,Harris,mw_per_1000_operating_host_population,0.5330608307401091,0.7319798905193462,0.9936214688946508,81424822.0
winner_step,1.0,1.0,1.0,False,False,2028,Harris,operating_host_residents_millions,53.81196005,60.0228835,66.57666819999999,81424822.0
winner_step,1.0,1.0,1.0,False,False,2028,Harris,operating_project_count,70.0,85.0,103.04999999999973,81424822.0
winner_step,1.0,1.0,1.0,False,False,2028,Harris,operating_gw_per_listed_proposal,0.0,0.0,0.014413442603233018,81424822.0
winner_step,1.0,1.0,1.0,False,False,2028,Trump/Harris,intensity_ratio,1.8040301171216344,2.628456593093329,3.818165718661074,
winner_step,1.0,1.0,1.0,False,False,2030,Trump,operating_gw,71.76005177865592,104.14481243282239,144.91503050939627,39252529.0
winner_step,1.0,1.0,1.0,False,False,2030,Trump,mw_per_1000_fixed_host_population,1.8281637796804362,2.653200063435974,3.691864809765411,39252529.0
winner_step,1.0,1.0,1.0,False,False,2030,Trump,mw_per_1000_operating_host_population,2.7726058505525475,3.6051158483050285,4.622576251184062,39252529.0
